34,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,15,16,34
34,18,5,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,0,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,18,5,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,5,0,0,6,7,0,0,0,6,7,0,0,0,6,7,0,0,2,34
34,17,18,0,6,7,3,15,16,16,16,16,18,4,6,7,0,15,17,34
34,0,0,0,6,7,0,0,0,0,0,0,0,0,6,7,0,0,2,34
46,5,0,0,6,7,0,0,0,0,0,0,0,0,6,7,0,0,2,48
